image,gaussian,sobel,canny,fourier,butterworth,wiener
airforce,29.20340548718545,29.265204470051764,29.13131547676604,28.409863909903446,29.036535572822487,28.790667076460164
barbara,29.188808239165986,29.189136298933064,29.00748266221329,28.447524930527415,29.02484157462561,28.46323523029509
boat,29.286963821052375,29.302707639870174,28.98841307959966,28.44975803950186,29.055972265409828,28.669456390120907
cman,29.322957182390756,29.282334370207558,28.886956897916342,28.41700138288755,28.924160124769514,29.161759409202077
couple,29.307091263837872,29.32404558291498,29.03355854052263,28.478589019216535,29.136525031542973,28.644448272054802
house,29.92892295560587,29.927254993281917,29.39976199989917,28.54123450358348,29.376276737540582,29.78527412835089
lenna,29.645465986587478,29.66997369586684,29.284446225940318,28.4921417138608,29.253692652772262,28.933193662206364
man,29.356150194184856,29.321251872463673,29.128659673934237,28.466392712496624,29.128096025246272,28.635929734031148
monarch,29.443418122704852,29.40130663783826,29.155307849819817,28.481987599829225,29.00565363601235,28.735141899370834
parrot,29.099844097898174,29.120039513913305,28.84991325639171,28.359601443073995,28.85774046028182,28.718837322718898
peppers,29.58013875478845,29.602601506499788,29.203290115906153,28.442515309539065,29.115627764054835,28.820900636615395
starfish,29.208461079124195,29.190790503470524,29.0247210810567,28.387303839151254,28.965358152312845,28.317827023208014
